Rank,Name,State,2022 Pop.,2010 Census,Change,Density (mi²),Area (mi²)
1,New York City,New York,"8,177,025","8,190,209",-0.16%,"27,222",300.38
2,Los Angeles,California,"3,985,516","3,795,512",5.01%,"8,499",468.96
3,Chicago,Illinois,"2,671,635","2,697,477",-0.96%,"11,750",227.37
4,Houston,Texas,"2,325,353","2,100,280",10.72%,"3,632",640.19
5,Phoenix,Arizona,"1,759,943","1,449,038",21.46%,"3,400",517.67
6,San Antonio,Texas,"1,598,964","1,332,299",20.02%,"3,296",485.11
7,Philadelphia,Pennsylvania,"1,585,480","1,528,283",3.74%,"11,807",134.28
8,San Diego,California,"1,429,653","1,305,906",9.48%,"4,387",325.88
9,Dallas,Texas,"1,348,886","1,200,350",12.37%,"3,970",339.74
10,Austin,Texas,"1,028,225","806,164",27.55%,"3,214",319.94
11,San Jose,California,"1,003,120","954,940",5.05%,"5,642",177.81
12,Fort Worth,Texas,"958,692","748,441",28.09%,"2,774",345.58
13,Jacksonville,Florida,"938,717","823,114",14.04%,"1,256",747.47
14,Charlotte,North Carolina,"925,290","738,444",25.30%,"3,012",307.24
15,Columbus,Ohio,"921,605","790,943",16.52%,"4,204",219.20
16,Indianapolis,Indiana,"892,656","821,579",8.65%,"2,469",361.57
17,San Francisco,California,"884,108","805,505",9.76%,"18,850",46.90
18,Seattle,Washington,"787,995","610,630",29.05%,"9,396",83.86
19,Denver,Colorado,"760,049","603,359",25.97%,"4,958",153.29
20,Washington,District of Columbia,"718,355","605,226",18.69%,"11,750",61.14
21,Boston,Massachusetts,"696,959","621,048",12.22%,"14,418",48.34
22,El Paso,Texas,"687,287","650,671",5.63%,"2,670",257.42
23,Nashville,Tennessee,"682,262","604,589",12.85%,"1,435",475.54
24,Oklahoma City,Oklahoma,"676,492","582,516",16.13%,"1,116",606.45
25,Las Vegas,Nevada,"675,592","584,576",15.57%,"4,766",141.77
26,Portland,Oregon,"666,453","585,429",13.84%,"4,995",133.42
27,Detroit,Michigan,"661,193","711,131",-7.02%,"4,767",138.72
28,Memphis,Tennessee,"650,980","652,326",-0.21%,"2,051",317.36
29,Louisville,Kentucky,"615,067","596,482",3.12%,"2,335",263.43
30,Milwaukee,Wisconsin,"586,503","594,865",-1.41%,"6,098",96.18
31,Baltimore,Maryland,"566,631","620,915",-8.74%,"7,000",80.95
32,Albuquerque,New Mexico,"563,165","546,755",3.00%,"3,008",187.22
33,Tucson,Arizona,"557,718","527,160",5.80%,"2,343",238.01
34,Mesa,Arizona,"548,213","440,993",24.31%,"3,970",138.09
35,Fresno,California,"539,862","497,769",8.46%,"4,706",114.72
36,Atlanta,Georgia,"532,695","429,410",24.05%,"3,924",135.74
37,Sacramento,California,"531,285","467,286",13.70%,"5,436",97.73
38,Kansas City,Missouri,"505,272","460,697",9.68%,"1,605",314.89
39,Colorado Springs,Colorado,"495,183","420,685",17.71%,"2,539",195
40,Raleigh,North Carolina,"488,334","406,353",20.17%,"3,347",145.89
41,Miami,Florida,"483,395","400,779",20.61%,"13,429",36.00
42,Omaha,Nebraska,"480,871","459,659",4.61%,"3,411",140.98
43,Long Beach,California,"452,917","462,431",-2.06%,"8,934",50.70
44,Virginia Beach,Virginia,"450,349","438,859",2.62%,"1,840",244.72
45,Oakland,California,"444,956","391,406",13.68%,"7,961",55.89
46,Minneapolis,Minnesota,"443,715","383,067",15.83%,"8,217",54
47,Tampa,Florida,"407,104","337,053",20.78%,"3,571",114.02
48,Tulsa,Oklahoma,"403,518","392,403",2.83%,"2,043",197.48
49,Arlington,Texas,"401,047","365,892",9.61%,"4,187",95.78
50,Aurora,Colorado,"393,440","326,055",20.67%,"2,550",154.27
51,Wichita,Kansas,"392,059","382,745",2.43%,"2,425",161.66
52,Bakersfield,California,"391,438","348,987",12.16%,"2,614",149.76
53,New Orleans,Louisiana,"387,564","347,772",11.44%,"2,287",169.43
54,Cleveland,Ohio,"374,394","395,926",-5.44%,"4,819",77.69
55,Henderson,Nevada,"352,202","257,452",36.80%,"3,320",106.08
56,Anaheim,California,"349,366","336,760",3.74%,"6,943",50.32
57,Honolulu,Hawaii,"339,421","339,121",0.09%,"5,606",60.54
58,Riverside,California,"336,478","305,466",10.15%,"4,141",81.26
59,Santa Ana,California,"333,536","325,327",2.52%,"12,190",27.36
60,Corpus Christi,Texas,"327,423","305,272",7.26%,"2,050",159.70
61,Lexington,Kentucky,"325,330","296,848",9.59%,"1,147",283.64
62,San Juan,Puerto Rico,"323,279","381,931",-15.36%,"8,177",39.53
63,Stockton,California,"315,904","292,888",7.86%,"5,081",62.17
64,St. Paul,Minnesota,"311,504","285,510",9.10%,"5,993",51.98
65,Cincinnati,Ohio,"308,929","296,980",4.02%,"3,969",77.84
66,Irvine,California,"304,408","213,450",42.61%,"4,639",65.62
67,Greensboro,North Carolina,"303,286","269,598",12.50%,"2,350",129.07
68,Pittsburgh,Pennsylvania,"299,434","305,283",-1.92%,"5,407",55.38
69,Lincoln,Nebraska,"295,618","259,455",13.94%,"3,072",96.22
70,Durham,North Carolina,"292,301","230,727",26.69%,"2,605",112.22
71,Orlando,Florida,"292,059","239,326",22.03%,"2,642",110.56
72,St. Louis,Missouri,"292,047","319,336",-8.55%,"4,730",61.74
73,Chula Vista,California,"285,511","244,648",16.70%,"5,752",49.64
74,Plano,Texas,"284,467","261,234",8.89%,"3,968",71.68
75,Newark,New Jersey,"282,788","277,175",2.03%,"11,713",24.14
76,Anchorage,Alaska,"280,437","293,321",-4.39%,164,"1,706.80"
77,Fort Wayne,Indiana,"279,228","254,161",9.86%,"2,524",110.64
78,Chandler,Arizona,"273,102","236,454",15.50%,"4,194",65.12
79,Reno,Nevada,"271,966","225,652",20.52%,"2,501",108.74
80,North Las Vegas,Nevada,"271,849","216,836",25.37%,"2,774",98.02
81,Scottsdale,Arizona,"268,839","217,638",23.53%,"1,461",183.99
82,St. Petersburg,Florida,"268,006","245,222",9.29%,"4,332",61.86
83,Laredo,Texas,"267,396","236,807",12.92%,"2,529",105.74
84,Gilbert,Arizona,"266,714","209,493",27.31%,"3,895",68.47
85,Toledo,Ohio,"266,524","287,065",-7.16%,"3,311",80.49
86,Lubbock,Texas,"266,041","231,105",15.12%,"1,975",134.72
87,Madison,Wisconsin,"265,158","233,730",13.45%,"3,342",79.34
88,Glendale,Arizona,"259,659","226,236",14.77%,"4,216",61.59
89,Jersey City,New Jersey,"256,747","248,324",3.39%,"17,414",14.74
90,Buffalo,New York,"253,793","261,275",-2.86%,"6,285",40.38
91,Chesapeake,Virginia,"252,263","223,556",12.84%,745,338.51
92,Winston-Salem,North Carolina,"252,175","230,022",9.63%,"1,902",132.61
93,Fremont,California,"251,007","214,553",16.99%,"3,240",77.47
94,Norfolk,Virginia,"240,213","242,999",-1.15%,"4,509",53.27
95,Frisco,Texas,"236,604","118,201",100.17%,"3,473",68.13
96,Paradise,Nevada,"235,087","223,167",5.34%,"5,031",46.73
97,Irving,Texas,"234,920","216,859",8.33%,"3,503",67.06
98,Garland,Texas,"234,585","227,345",3.18%,"4,111",57.06
99,Richmond,Virginia,"234,081","204,302",14.58%,"3,906",59.92
100,Arlington,Virginia,"233,464","207,627",12.44%,"8,980",26.00
101,Boise,Idaho,"230,510","209,576",9.99%,"2,755",83.67
102,Spokane,Washington,"230,328","209,525",9.93%,"3,350",68.76
103,Hialeah,Florida,"228,533","225,470",1.36%,"10,590",21.58
104,Moreno Valley,California,"225,553","194,240",16.12%,"4,400",51.26
105,Tacoma,Washington,"222,975","198,230",12.48%,"4,481",49.76
106,Port St. Lucie,Florida,"222,960","164,848",35.25%,"1,870",119.20
107,McKinney,Texas,"221,464","132,934",66.60%,"3,308",66.94
108,Fontana,California,"218,582","197,317",10.78%,"5,075",43.07
109,Modesto,California,"217,617","203,301",7.04%,"5,064",42.98
110,Fayetteville,North Carolina,"214,384","208,337",2.90%,"1,450",147.85
111,Baton Rouge,Louisiana,"214,374","229,374",-6.54%,"2,480",86.45
112,San Bernardino,California,"214,167","210,637",1.68%,"3,448",62.11
113,Santa Clarita,California,"211,269","208,822",1.17%,"2,986",70.75
114,Cape Coral,Florida,"209,576","154,731",35.45%,"1,978",105.95
115,Des Moines,Iowa,"208,966","205,032",1.92%,"2,370",88.18
116,Tempe,Arizona,"207,982","162,323",28.13%,"5,203",39.98
117,Huntsville,Alabama,"207,921","180,941",14.91%,970,214.36
118,Oxnard,California,"207,711","198,539",4.62%,"7,830",26.53
119,Spring Valley,Nevada,"207,127","178,395",16.11%,"6,229",33.25
120,Birmingham,Alabama,"206,151","212,328",-2.91%,"1,411",146.08
121,Rochester,New York,"204,768","210,217",-2.59%,"5,725",35.77
122,Overland Park,Kansas,"203,804","174,040",17.10%,"2,711",75.18
123,Grand Rapids,Michigan,"203,644","188,007",8.32%,"4,550",44.76
124,Yonkers,New York,"201,831","196,407",2.76%,"11,205",18.01
125,Salt Lake City,Utah,"200,963","186,643",7.67%,"1,815",110.70
126,Columbus,Georgia,"200,569","191,101",4.95%,927,216.48
127,Augusta,Georgia,"200,477","196,375",2.09%,663,302.27
128,Amarillo,Texas,"199,935","191,249",4.54%,"1,965",101.74
129,Tallahassee,Florida,"199,711","181,438",10.07%,"1,988",100.47
130,Ontario,California,"197,886","164,377",20.39%,"3,961",49.96
131,Montgomery,Alabama,"197,403","205,593",-3.98%,"1,235",159.88
132,Little Rock,Arkansas,"196,796","193,972",1.46%,"1,640",119.99
133,Akron,Ohio,"196,736","199,081",-1.18%,"3,177",61.93
134,Huntington Beach,California,"196,514","191,296",2.73%,"7,277",27.00
135,Grand Prairie,Texas,"196,205","175,974",11.50%,"2,715",72.25
136,Glendale,California,"195,148","191,720",1.79%,"6,404",30.47
137,Sioux Falls,South Dakota,"193,978","154,533",25.53%,"2,480",78.23
138,Sunrise Manor,Nevada,"193,781","189,372",2.33%,"5,806",33.38
139,Aurora,Illinois,"193,431","198,207",-2.41%,"4,298",45.01
140,Vancouver,Washington,"189,191","167,595",12.89%,"3,881",48.74
141,Knoxville,Tennessee,"188,326","178,258",5.65%,"1,908",98.71
142,Peoria,Arizona,"187,055","154,846",20.80%,"1,063",175.99
143,Mobile,Alabama,"185,453","194,577",-4.69%,"1,330",139.47
144,Chattanooga,Tennessee,"185,442","170,574",8.72%,"1,297",142.96
145,Worcester,Massachusetts,"185,047","181,759",1.81%,"4,953",37.36
146,Brownsville,Texas,"184,125","175,362",5.00%,"1,391",132.32
147,Fort Lauderdale,Florida,"183,445","166,126",10.43%,"5,304",34.59
148,Newport News,Virginia,"181,331","180,888",0.24%,"2,628",68.99
149,Elk Grove,California,"181,291","153,375",18.20%,"4,313",42.03
150,Providence,Rhode Island,"180,972","178,029",1.65%,"9,832",18.41
151,Shreveport,Louisiana,"180,368","201,437",-10.46%,"1,680",107.36
152,Salem,Oregon,"179,522","155,247",15.64%,"3,687",48.69
153,Pembroke Pines,Florida,"178,439","155,265",14.93%,"5,461",32.67
154,Eugene,Oregon,"178,385","156,527",13.96%,"4,042",44.14
155,Rancho Cucamonga,California,"178,377","166,226",7.31%,"4,446",40.12
156,Cary,North Carolina,"177,002","137,086",29.12%,"3,014",58.73
157,Santa Rosa,California,"176,762","175,238",0.87%,"4,157",42.52
158,Fort Collins,Colorado,"176,000","145,268",21.16%,"3,078",57.18
159,Oceanside,California,"175,694","168,079",4.53%,"4,259",41.26
160,Corona,California,"174,044","153,052",13.72%,"4,353",39.99
161,Enterprise,Nevada,"171,108","108,481",57.73%,"3,347",51.13
162,Garden Grove,California,"169,991","171,181",-0.70%,"9,467",17.96
163,Springfield,Missouri,"168,911","159,376",5.98%,"2,050",82.39
164,Clarksville,Tennessee,"163,456","133,486",22.45%,"1,654",98.80
165,Murfreesboro,Tennessee,"163,274","109,572",49.01%,"2,646",61.71
166,Lakewood,Colorado,"161,694","142,759",13.26%,"3,756",43.05
167,Bayamon,Puerto Rico,"161,034","185,996",-13.42%,"5,969",26.98
168,Killeen,Texas,"160,615","129,024",24.48%,"2,945",54.55
169,Alexandria,Virginia,"160,505","140,729",14.05%,"10,748",14.93
170,Midland,Texas,"157,633","111,276",41.66%,"2,119",74.38
171,Hayward,California,"157,532","144,835",8.77%,"3,459",45.54
172,Hollywood,Florida,"156,125","141,013",10.72%,"5,725",27.27
173,Salinas,California,"154,919","150,887",2.67%,"6,613",23.43
174,Lancaster,California,"154,538","156,824",-1.46%,"1,639",94.28
175,Macon,Georgia,"153,927","155,814",-1.21%,617,249.40
176,Surprise,Arizona,"153,505","117,643",30.48%,"1,421",108.06
177,Kansas City,Kansas,"152,945","145,878",4.84%,"1,225",124.81
178,Sunnyvale,California,"152,391","140,462",8.49%,"6,917",22.03
179,Palmdale,California,"151,842","152,936",-0.72%,"1,431",106.08
180,Bellevue,Washington,"151,464","128,357",18.00%,"4,527",33.46
181,Springfield,Massachusetts,"151,437","153,569",-1.39%,"4,752",31.87
182,Denton,Texas,"151,219","117,010",29.24%,"1,571",96.24
183,Jackson,Mississippi,"151,196","173,698",-12.95%,"1,361",111.09
184,Escondido,California,"151,121","144,440",4.63%,"4,050",37.31
185,Pomona,California,"150,989","149,107",1.26%,"6,570",22.98
186,Naperville,Illinois,"149,526","142,402",5.00%,"3,853",38.81
187,Roseville,California,"149,141","119,916",24.37%,"3,383",44.08
188,Thornton,Colorado,"147,800","119,391",23.79%,"4,118",35.89
189,Round Rock,Texas,"146,941","100,772",45.82%,"4,058",36.21
190,Pasadena,Texas,"146,709","149,523",-1.88%,"3,366",43.59
191,Joliet,Illinois,"146,186","147,524",-0.91%,"2,279",64.15
192,Carrollton,Texas,"145,953","119,564",22.07%,"3,980",36.67
193,McAllen,Texas,"145,482","132,093",10.14%,"2,214",65.70
194,Paterson,New Jersey,"144,150","146,391",-1.53%,"17,134",8.41
195,Rockford,Illinois,"143,515","153,147",-6.29%,"2,229",64.38
196,Waco,Texas,"143,286","125,377",14.28%,"1,613",88.86
197,Bridgeport,Connecticut,"143,280","144,864",-1.09%,"8,919",16.06
198,Miramar,Florida,"143,072","122,300",16.98%,"4,959",28.85
199,Olathe,Kansas,"142,906","126,269",13.18%,"2,318",61.64
200,Metairie,Louisiana,"142,135","138,481",2.64%,"6,111",23.26